County/State/ Territory,SUM of Hispanic/ Latinx
Los Angeles,3041
San Diego,756
Orange,546
Alameda,452
Riverside,413
Contra Costa,332
San Bernardino,329
Santa Clara,214
Fresno,207
Ventura,182
Monterey,176
Santa Barbara,165
San Mateo,149
Kern,120
Stanislaus,106
Sacramento,105
San Francisco,100
Tulare,84
Imperial,73
Merced,57
San Joaquin,52
Solano,52
Yolo,50
Santa Cruz,47
San Luis Obispo,43
Placer,34
Marin,31
Napa,13
Madera,12
San Benito,10
Sonoma,10
Butte,3
Calaveras,3
El Dorado,3
Lake,3
Mendocino,3
Sutter,3
Amador,0
Colusa,0
Del Norte,0
Glenn,0
Humboldt,0
Inyo,0
Kings,0
Lassen,0
Mariposa,0
Mono,0
Nevada,0
Plumas,0
Shasta,0
Sierra,0
Siskiyou,0
Tehama,0
Trinity,0
Tuolumne,0
Yuba,0
