Count,County/State/ Territory,SUM of White
Adm Total,,13226
App Total,,88265
Enr,Alameda,269
,Amador,0
,Butte,10
,Calaveras,0
,Colusa,0
,Contra Costa,405
,Del Norte,0
,El Dorado,21
,Fresno,28
,Glenn,0
,Humboldt,3
,Imperial,0
,Inyo,0
,Kern,3
,Kings,0
,Lake,0
,Lassen,0
,Los Angeles,1249
,Madera,0
,Marin,207
,Mariposa,0
,Mendocino,4
,Merced,3
,Mono,0
,Monterey,25
,Napa,20
,Nevada,0
,Orange,575
,Placer,77
,Plumas,0
,Riverside,59
,Sacramento,69
,San Benito,0
,San Bernardino,8
,San Diego,624
,San Francisco,66
,San Joaquin,13
,San Luis Obispo,57
,San Mateo,255
,Santa Barbara,160
,Santa Clara,243
,Santa Cruz,41
,Shasta,3
,Sierra,0
,Siskiyou,0
,Solano,21
,Sonoma,46
,Stanislaus,24
,Sutter,0
,Tehama,0
,Trinity,0
,Tulare,6
,Tuolumne,0
,Ventura,139
,Yolo,54
,Yuba,0
Enr Total,,4787
Grand Total,,106278
