County/State/ Territory,SUM of White
Los Angeles,1249
San Diego,624
Orange,575
Contra Costa,405
Alameda,269
San Mateo,255
Santa Clara,243
Marin,207
Santa Barbara,160
Ventura,139
Placer,77
Sacramento,69
San Francisco,66
Riverside,59
San Luis Obispo,57
Yolo,54
Sonoma,46
Santa Cruz,41
Fresno,28
Monterey,25
Stanislaus,24
El Dorado,21
Solano,21
Napa,20
San Joaquin,13
Butte,10
San Bernardino,8
Tulare,6
Mendocino,4
Humboldt,3
Kern,3
Merced,3
Shasta,3
Amador,0
Calaveras,0
Colusa,0
Del Norte,0
Glenn,0
Imperial,0
Inyo,0
Kings,0
Lake,0
Lassen,0
Madera,0
Mariposa,0
Mono,0
Nevada,0
Plumas,0
San Benito,0
Sierra,0
Siskiyou,0
Sutter,0
Tehama,0
Trinity,0
Tuolumne,0
Yuba,0
