Year,School,City,County/State/ Territory,Count,All,African American,American Indian,Hispanic/ Latinx,Pacific Islander,Asian,White,Domestic Unknown,Int'l
2012,A B MILLER HIGH SCHOOL,Fontana,San Bernardino,App,13,,,9,,,,,
2012,A B MILLER HIGH SCHOOL,Fontana,San Bernardino,Adm,,,,,,,,,
2012,A B MILLER HIGH SCHOOL,Fontana,San Bernardino,Enr,,,,,,,,,
2012,ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,App,51,,,21,,29,,,
2012,ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,Adm,15,,,,,,,,
2012,ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,Enr,6,,,,,,,,
2012,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,App,86,,,,,74,5,,
2012,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,Adm,8,,,,,7,,,
2012,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,Enr,7,,,,,6,,,
2012,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,App,44,,,22,,12,,,
2012,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,Adm,11,,,4,,4,,,
2012,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,Enr,7,,,,,3,,,
2012,ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,App,17,,,13,,,,,
2012,ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,Adm,3,,,,,,,,
2012,ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,Enr,,,,,,,,,
2012,ACADEMY MED HEALTH SCI AT RHS,Los Angeles,Los Angeles,App,8,,,,,,,,
2012,ACADEMY MED HEALTH SCI AT RHS,Los Angeles,Los Angeles,Adm,,,,,,,,,
2012,ACADEMY MED HEALTH SCI AT RHS,Los Angeles,Los Angeles,Enr,,,,,,,,,
2012,ACADEMY OF THE REDWOODS,Eureka,Humboldt,App,,,,,,,,,
2012,ACADEMY OF THE REDWOODS,Eureka,Humboldt,Adm,,,,,,,,,
2012,ACADEMY OF THE REDWOODS,Eureka,Humboldt,Enr,,,,,,,,,
2012,ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,App,16,,,,,10,,,
2012,ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,Adm,4,,,,,,,,
2012,ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,Enr,4,,,,,,,,
2012,ACALANES HIGH SCHOOL,Lafayette,Contra Costa,App,80,,,5,,24,49,,
2012,ACALANES HIGH SCHOOL,Lafayette,Contra Costa,Adm,12,,,,,4,8,,
2012,ACALANES HIGH SCHOOL,Lafayette,Contra Costa,Enr,8,,,,,4,4,,
2012,ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,App,40,,,,,20,13,,
2012,ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,Adm,9,,,,,5,,,
2012,ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,Enr,3,,,,,,,,
2012,ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,App,45,,,,,33,8,,
2012,ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,Adm,12,,,,,11,,,
2012,ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,Enr,4,,,,,,,,
2012,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,App,82,,,9,,15,50,6,
2012,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,Adm,10,,,,,3,3,,
2012,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,Enr,7,,,,,,,,
2012,AIMS COLLEGE PREP HIGH SCHOOL,Oakland,Alameda,App,15,,,,,9,,,
2012,AIMS COLLEGE PREP HIGH SCHOOL,Oakland,Alameda,Adm,3,,,,,,,,
2012,AIMS COLLEGE PREP HIGH SCHOOL,Oakland,Alameda,Enr,,,,,,,,,
2012,ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,App,11,,,,,5,,,
2012,ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,Adm,,,,,,,,,
2012,ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,Enr,,,,,,,,,
2012,ALAMEDA HIGH SCHOOL,Alameda,Alameda,App,134,,,14,,91,19,,
2012,ALAMEDA HIGH SCHOOL,Alameda,Alameda,Adm,23,,,,,18,5,,
2012,ALAMEDA HIGH SCHOOL,Alameda,Alameda,Enr,12,,,,,8,4,,
2012,ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,App,17,,,,,13,,,
